English,Turkish
boil ,kaynama
kneel ,diz çökmek
tammy ,müstehcen
clumsy ,sakar
rapid ,ani
xiao ,xiao
stevens ,Stevens
invested ,yatırılmış
janice ,Janice
roller ,rulman
thai ,Tayland
justify ,savunmak
garlic ,Sarımsak
yelled ,bağırdı
simone ,Simone
ammunition ,mühimmat
sushi ,Suşi
shaft ,şaft
definition ,tanım
gardens ,bahçeler
chandler ,chandler
ne ,NE
notify ,bilgilendirmek
brady ,brady
beasts ,canavarlar
setup ,kurmak
greed ,açgözlülük
dared ,cüretkar
unlucky ,şanssız
classroom ,sınıf
treaty ,antlaşma
hike ,yürüyüş
dagger ,hançer
spine ,omurga
detect ,tespit etmek
chow ,yamaç
des ,des
teenagers ,gençler
handwriting ,el yazısı
mock ,alay etmek
challenging ,zorlu
salon ,salon
virtue ,Erdem
lawsuit ,dava
shelly ,Shelly
clap ,çırpmak
mustache ,bıyık
offence ,suç
med ,taç
sultan ,sultan
attraction ,cazibe
franco ,Franco
courts ,mahkemeler
fortress ,kale
